本文,歌人,歌集,年代,雑誌
あが側に子は立てりけり顏洗ふ間をだに父を珍らしがるか,島木赤彦,馬鈴薯の花,1910,アララギ
歸省　其四,島木赤彦,馬鈴薯の花,1910,アララギ
日焼け瓜いくつも下がり明るめり夕燒畠に我も明るき,島木赤彦,馬鈴薯の花,1910,アララギ
いとどしく夕燒畑のまんなかに熱き胡瓜を握りたるかも,島木赤彦,馬鈴薯の花,1910,アララギ
桑畑の桑價は立たず三右衞門泣くかはり唄をうたひけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
歸省　其五,島木赤彦,馬鈴薯の花,1910,アララギ
芒の穗白き水噴くと見るまでに夕日に光り竝びたるかも,島木赤彦,馬鈴薯の花,1910,アララギ
紅の芒の穗並くもり日の靜かさふかく動く時かも,島木赤彦,馬鈴薯の花,1910,アララギ
朝づく日谿とほ埋む靑葉の群れひえびえと動き白みを覺ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
野に焚く火,島木赤彦,馬鈴薯の花,1910,アララギ
火の上に投けかさねたる草くづれ烟黃ろく渦まき光る,島木赤彦,馬鈴薯の花,1910,アララギ
草深く燃えあがりたる火の炎黑ぐろとして噴きにけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
黑ぐろと噴ける炎に夏深けの草は大きく搖れたりけり,島木赤彦,馬鈴薯の花,1910,アララギ
何草の燒くるにゃあらんあからひく日は明うして匂ひ滲み來も,島木赤彦,馬鈴薯の花,1910,アララギ
夏の草い分けおしわけ立ちのぼる炎の上に太陽が照る,島木赤彦,馬鈴薯の花,1910,アララギ
太陽ぞ炎の上に堪へにける炎の上に搖るる太陽,島木赤彦,馬鈴薯の花,1910,アララギ
何といふ今のこころぞ炎のそこの紅ゆすり目は側らされず,島木赤彦,馬鈴薯の花,1910,アララギ
炎はも物をやかねばあられねば白き花びらを眼の前にやく,島木赤彦,馬鈴薯の花,1910,アララギ
夏草の茂りを深くくぐりたる黃ろき烟立ちまよひ居り,島木赤彦,馬鈴薯の花,1910,アララギ
歌澤,島木赤彦,馬鈴薯の花,1910,アララギ
歌澤の唄は落ちゅく夜の靜み枕はづして寢る女が思ほゆ,島木赤彦,馬鈴薯の花,1910,アララギ
夜の燭いたも更くれば歌澤の絃は芒にならんとするも,島木赤彦,馬鈴薯の花,1910,アララギ
夕燒,島木赤彦,馬鈴薯の花,1910,アララギ
稻のなかにふかぶかと立つ百姓の顏に照りかへり夕やけの空,島木赤彦,馬鈴薯の花,1910,アララギ
夕燒くる雲もあらねば高天の奧所明るく黃に澄めるかも,島木赤彦,馬鈴薯の花,1910,アララギ
夕燒の靑草ふかく真鍮の烟管を石にはたきけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
伏しなびくみたれ靑葦白き帆を一ぱいに張り夕燒の水,島木赤彦,馬鈴薯の花,1910,アララギ
夕やけの光の街は瓦斯の灯の靑くあやしく瀟ちゅかんとす,島木赤彦,馬鈴薯の花,1910,アララギ
炭團,島木赤彦,馬鈴薯の花,1910,アララギ
野分の葉散亂し日は射しにけり女ひそまりて炭團をまろむ,島木赤彦,馬鈴薯の花,1910,アララギ
野分すぎ裸のをんな赤あかと腰に布せり炭團を持ちて,島木赤彦,馬鈴薯の花,1910,アララギ
葉が散れば葉の上にたどん丸めけり嵐やみて女ひとり來りし,島木赤彦,馬鈴薯の花,1910,アララギ
女手に炭團まろむる畫久し散りたまりたり鳳仙花のはな,島木赤彦,馬鈴薯の花,1910,アララギ
鳳仙花くれなゐ零れこぼるれど炭團まるめて餘念なし女,島木赤彦,馬鈴薯の花,1910,アララギ
羇鳥,島木赤彦,馬鈴薯の花,1910,アララギ
衢風はや秋ならしぬば玉の夜の目にしるく雲流れ見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
行く雲はささやかなれど切れぎれに都の夜を流れ居る見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
小石川富坂上の木ぬれにはここだも通る夜の雲かも,島木赤彦,馬鈴薯の花,1910,アララギ
一人して茶をのみ馴るるおのが身を寂しくぞ思ふ夕すわりゐて,島木赤彦,馬鈴薯の花,1910,アララギ
小夜ふけて聞ゆるものは遠街の電車もやみて雨ふるけはひ,島木赤彦,馬鈴薯の花,1910,アララギ
硝子窓に夜の雨流れゐたりけり寢んと思ひつつ寂しくもあるか,島木赤彦,馬鈴薯の花,1910,アララギ
歌,島木赤彦,馬鈴薯の花,1910,アララギ
集,島木赤彦,馬鈴薯の花,1910,アララギ
氷,島木赤彦,馬鈴薯の花,1910,アララギ
魚,島木赤彦,馬鈴薯の花,1910,アララギ
大正四年,島木赤彦,馬鈴薯の花,1910,アララギ
山國の春,島木赤彦,馬鈴薯の花,1910,アララギ
春雨のなかより見れば葦原の奧つ山にはみ雪降りたり,島木赤彦,馬鈴薯の花,1910,アララギ
山なかに下駄はきかへぬ萱草のここだ芽をふく日向に疲れて,島木赤彦,馬鈴薯の花,1910,アララギ
枯芝原よべ降りし雪のとけしかば辛夷の花は零してあり,島木赤彦,馬鈴薯の花,1910,アララギ
道の手に村は見ゆれど家の子は春山樵りに行きにつらむか,島木赤彦,馬鈴薯の花,1910,アララギ
舊道ののぼりくだりを行きしかば雉子鳴くもよ草山の上に,島木赤彦,馬鈴薯の花,1910,アララギ
たまさかに妻と言語り時惜しみ春の夜なかの雞なく聞ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
春の爐の灰のふくらみに火はこもり我は眠るもよ草いへのうちに,島木赤彦,馬鈴薯の花,1910,アララギ
白じろとかむる手拭春の日を眉深によきて柴伐る稚子ら,島木赤彦,馬鈴薯の花,1910,アララギ
大正五年改訂,島木赤彦,馬鈴薯の花,1910,アララギ
貰はるる仔犬,島木赤彦,馬鈴薯の花,1910,アララギ
ひつそりと白壁のまへを人行けり赤く圓まれる仔犬を抱きて,島木赤彦,馬鈴薯の花,1910,アララギ
職人の懷のなかに眼をあきて貰はれてゆく仔犬は知らず,島木赤彦,馬鈴薯の花,1910,アララギ
職人のふところの中ゆ眼あき職人の顏を仔犬は知らず,島木赤彦,馬鈴薯の花,1910,アララギ
街の橋渡りて街に入りにけり遠く來れる仔犬は知らず,島木赤彦,馬鈴薯の花,1910,アララギ
生けるもの我が子愛しみ別るればその親犬も仔犬も知らず,島木赤彦,馬鈴薯の花,1910,アララギ
犬の子に懼るる心さらになし懷のなかに眼をあきあはれ,島木赤彦,馬鈴薯の花,1910,アララギ
朗らかなる眼をあきて仔犬は見る光りのほかに見るものはなし,島木赤彦,馬鈴薯の花,1910,アララギ
山中,島木赤彦,馬鈴薯の花,1910,アララギ
白樺の木のあひの雪のいたく消えて春の雨やむ朝の寒さ,島木赤彦,馬鈴薯の花,1910,アララギ
小石川植物園,島木赤彦,馬鈴薯の花,1910,アララギ
古池に藻の草ふかく沈みたり寒けくもあるか白梅の花,島木赤彦,馬鈴薯の花,1910,アララギ
池の面ゆ照りかへる光ゆらゆらに搖れもこそすれ梅の古木に,島木赤彦,馬鈴薯の花,1910,アララギ
池水より明るき光り照りかへり時ふりにけり梅の古木に,島木赤彦,馬鈴薯の花,1910,アララギ
白梅の花明るくて古池に搖るる光りのけはひこそすれ,島木赤彦,馬鈴薯の花,1910,アララギ
冬靑の木の下ベに泳ぎゆく家鴨白く輝くばかりなるかも,島木赤彦,馬鈴薯の花,1910,アララギ
白梅の木のもとにゐて落ちつけるおのが心の弱りをおぼゆ,島木赤彦,馬鈴薯の花,1910,アララギ
梅林まだ寒くしてこの眞晝わが吐く息のしろじろと見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
石の上に腰をかけつついく晚も眠り足らざる眼は疲れ居り,島木赤彦,馬鈴薯の花,1910,アララギ
妻と子　ー,島木赤彦,馬鈴薯の花,1910,アララギ
はるばるに歸り來りて戸を叩き梅雨の草家の眠りは深し,島木赤彦,馬鈴薯の花,1910,アララギ
闇のなかの雨の音澄み降りしきり草家ぬちのけはひは聞ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
闇のなかに厚き大戸を叩きけり何故に心怯るるならむ,島木赤彦,馬鈴薯の花,1910,アララギ
くらやみの室のなかよりマッチ擦り顏は見えつも我が妻の顏,島木赤彦,馬鈴薯の花,1910,アララギ
面やつれいたくも妻のせしものかぬば玉の夜の衣をきかへて,島木赤彦,馬鈴薯の花,1910,アララギ
草家にしみじみ妻と坐りけり桑のはたけに雨ふる音す,島木赤彦,馬鈴薯の花,1910,アララギ
ははそはの母が手枕きて眠りたる我が子の顏を見たり夜半に,島木赤彦,馬鈴薯の花,1910,アララギ
夜おそくわが手を洗ふ緣のうへに匂ひれるは胡桃の花か,島木赤彦,馬鈴薯の花,1910,アララギ
其,島木赤彦,馬鈴薯の花,1910,アララギ
二,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
汽車のなかに眠りて來り驚きて眼をあきて見る山のうへの雪,島木赤彦,馬鈴薯の花,1910,アララギ
靑空の遠くに著き山ひとつ雪をいただき輝きてあり,島木赤彦,馬鈴薯の花,1910,アララギ
靑空に八ヶ嶽とぞ知られける雪をいただきて遙かに照れり,島木赤彦,馬鈴薯の花,1910,アララギ
遠空の山根に白く雲たまり著しもよ梅雨あがりの雲,島木赤彦,馬鈴薯の花,1910,アララギ
故鄕に夜おそく入り梅雨がふる夜汽車の窓に流れつつ降る,島木赤彦,馬鈴薯の花,1910,アララギ
其,島木赤彦,馬鈴薯の花,1910,アララギ
三,島木赤彦,馬鈴薯の花,1910,アララギ
汽車のなかに來つる夏野の靑羽蟲爪もて弾き飛ばしつるかも,島木赤彦,馬鈴薯の花,1910,アララギ
富士見原低木はんの木理るるばかり五月雨の草の茂りあひたり,島木赤彦,馬鈴薯の花,1910,アララギ
見入らるる草と草との深き蔭晝のひかりのふけたるならむ,島木赤彦,馬鈴薯の花,1910,アララギ
丘の上に白き馬ひく人見えず白き馬行く夏草の中を,島木赤彦,馬鈴薯の花,1910,アララギ
眼につきて赭き土見ゆ村びとのはたけを墾く山裾の原,島木赤彦,馬鈴薯の花,1910,アララギ
其,島木赤彦,馬鈴薯の花,1910,アララギ
四,島木赤彦,馬鈴薯の花,1910,アララギ
日の闌けて若葉明るき林よりゆるぎ出でたり雉子たつ音,島木赤彦,馬鈴薯の花,1910,アララギ
わが稚子若葉のなかの流れ水跳びこえ走り行きにけるかも,島木赤彦,馬鈴薯の花,1910,アララギ
おくれたる我をふりかへり立ちとまれり林のなかに入りゆく稚子,島木赤彦,馬鈴薯の花,1910,アララギ
藪のなか露にぬれたる掌をひらき木瓜の靑果を見せたり我子は,島木赤彦,馬鈴薯の花,1910,アララギ
雨やみし露のしづくの草明りすかんぽの穗の長く伸びたり,島木赤彦,馬鈴薯の花,1910,アララギ
左千夫先生三周忌,島木赤彦,馬鈴薯の花,1910,アララギ
來て見ればおくつきのへの隱り水あさざの花は過ぎしにやあらむ,島木赤彦,馬鈴薯の花,1910,アララギ
たまさかに吾がまゐりこしおくつきの松葉牡丹の花さかりなり,島木赤彦,馬鈴薯の花,1910,アララギ
妻と子　五,島木赤彦,馬鈴薯の花,1910,アララギ
長雨のあがりとなりぬ靑桑原風吹きて桑の動きゐる見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
靑桑原流らふ霧のひかり散りあか根刺す日のさしのぼる見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
古井戸に覆ひかぶさる桑のかげに顏を洗ひぬ我が子とふたり,島木赤彦,馬鈴薯の花,1910,アララギ
古井戸の盥の水に手を浸し冷めたくなる手を見て居たりけり,島木赤彦,馬鈴薯の花,1910,アララギ
父と子と顏あらひ立つ桑のかげ別るることは思ふに堪へず,島木赤彦,馬鈴薯の花,1910,アララギ
顏あらふ子は知らず居りひつそりと井戸をめぐりて蟲ぞ嗚くなる,島木赤彦,馬鈴薯の花,1910,アララギ
落葉松のやはらか垂り葉この朝の光りの中に動きて白し,島木赤彦,馬鈴薯の花,1910,アララギ
子をつれて來り拜めりわが家に猫をまつりし屋敷の小祠,島木赤彦,馬鈴薯の花,1910,アララギ
御卽位式奉祝歌,島木赤彦,馬鈴薯の花,1910,アララギ
窓くらし亞鉛の塀の下にして天皇をことほぐ馬吉と我と,島木赤彦,馬鈴薯の花,1910,アララギ
この朝け水道のみづを汲みたらはし體を拭ひことほぎまつる,島木赤彦,馬鈴薯の花,1910,アララギ
ひむがしの大海のうへに朝日のぼり光いちじるき皇高御座,島木赤彦,馬鈴薯の花,1910,アララギ
海原の靑雲垣をめぐらして大きく廣くいましたまへり,島木赤彦,馬鈴薯の花,1910,アララギ
かりそめの下宿に馴れぬーつきの酒を飮みつつ樂しめり我は,島木赤彦,馬鈴薯の花,1910,アララギ
朝顏の花,島木赤彦,馬鈴薯の花,1910,アララギ
しらしらに障子白みて牛乳の車の音す疲れし頭に,島木赤彦,馬鈴薯の花,1910,アララギ
しらしらと夏の夜明けの肌寒し懷手して寢むとは思はず,島木赤彦,馬鈴薯の花,1910,アララギ
人間の我の願ひはいと脆し夜は明けはなる朝顏の花に,島木赤彦,馬鈴薯の花,1910,アララギ
朝顏の花に向ひて不覺なる淚と思へど疲れて流るる,島木赤彦,馬鈴薯の花,1910,アララギ
咲き盛る朝顏の露にさはりたりほとほと夜は明けむとするも,島木赤彦,馬鈴薯の花,1910,アララギ
電燈に照らされてめる朝顏の紺いろの花曉近づけり,島木赤彦,馬鈴薯の花,1910,アララギ
朝顏は夜あけてひさし下宿なれば起きてゐる人と未だ寝てゐる人,島木赤彦,馬鈴薯の花,1910,アララギ
朝顏の紺いろの花いくつも咲き曉の空澄みとほりたり,島木赤彦,馬鈴薯の花,1910,アララギ
蓮の花,島木赤彦,馬鈴薯の花,1910,アララギ
曇天の池一ぱいに運の葉立ち搖れもこそせね紅のはちす,島木赤彦,馬鈴薯の花,1910,アララギ
ぽつかりと朝の曇りに花をひらく紅運華こそ大きかりけれ,島木赤彦,馬鈴薯の花,1910,アララギ
蓮葉の廣葉のかげのこもり水光るともなし朝の曇りに,島木赤彦,馬鈴薯の花,1910,アララギ
咲き滿てる運の花の曇り久し上野山より鐘鳴り響く,島木赤彦,馬鈴薯の花,1910,アララギ
おのづから曇りのなかに明るめる運の花に鐘鳴りひびく,島木赤彦,馬鈴薯の花,1910,アララギ
ひろがらぬ蓮の浮葉の下にして靑く濁れる水は深けれ,島木赤彦,馬鈴薯の花,1910,アララギ
水をぬく大き圓莖直に立てり傾かむとする紅の蓮華,島木赤彦,馬鈴薯の花,1910,アララギ
曇り深し蓮の荅のいただきに臀低くゐるおしろい蜻蛉,島木赤彦,馬鈴薯の花,1910,アララギ
蓮葉の池の向うに人の往來ぞろぞろと曇り今日も暑からむ,島木赤彦,馬鈴薯の花,1910,アララギ
はすの花ひらきそろひて寂しけれ羽をすほめ來る一羽の燕,島木赤彦,馬鈴薯の花,1910,アララギ
蓮の花切りてくれたる女ゆゑ日ぐれて我れは酒に醉ひたり,島木赤彦,馬鈴薯の花,1910,アララギ
緣日,島木赤彦,馬鈴薯の花,1910,アララギ
傳通院大山門を鎖したり秋の緣日の灯の群れのまへに,島木赤彦,馬鈴薯の花,1910,アララギ
ふり仰ぎ秋の月見れば緣日の灯のうへの空の雲は早しも,島木赤彦,馬鈴薯の花,1910,アララギ
赤あかと月は虧けたり緣日の灯のなかにして尺八聞ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
瀬戸物賣手をたたき値を頻りに負く月は明くてあはれに聞ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
灯のむれに大群集の動きゆき北の星低し山門のうへに,島木赤彦,馬鈴薯の花,1910,アララギ
久方の月の夜にして緣日の灯のいろうつる雲は低しも,島木赤彦,馬鈴薯の花,1910,アララギ
山門の大扉の下に立つ我の息こそ見ゆれ更くる月夜に,島木赤彦,馬鈴薯の花,1910,アララギ
山門ゆ眞通りなる高臺の家並の月夜明らかにあり,島木赤彦,馬鈴薯の花,1910,アララギ
渡鳥,島木赤彦,馬鈴薯の花,1910,アララギ
山の湖に竝べる村の一と所どうづきの音ひる更けて聞ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
晝すぎまでどうづきの音聞え居り妻も子どもも秋の田にいでて,島木赤彦,馬鈴薯の花,1910,アララギ
〇,島木赤彦,馬鈴薯の花,1910,アララギ
遠き村にどうづきすらし山なかの湖の空氣に澄みてしきこゆ,島木赤彦,馬鈴薯の花,1910,アララギ
地形の音手に取るごとく聞ゆなり湖水の船に一人し居れば,島木赤彦,馬鈴薯の花,1910,アララギ
幾たびか空に鳥群れて渡りけむ地形の音の日ねもすひびき,島木赤彦,馬鈴薯の花,1910,アララギ
山深き湖水の空の渡り鳥群れて渡れど音こそなけれ,島木赤彦,馬鈴薯の花,1910,アララギ
渡り鳥とほ行く空は雪しろき山立ち竝び重なりあへり,島木赤彦,馬鈴薯の花,1910,アララギ
丘の上ゆ見れば小さき秋の湖國も小さし湖照りて滿っ,島木赤彦,馬鈴薯の花,1910,アララギ
障子には湖水の夕日照りかへり甚た寒く明るくなりぬ,島木赤彦,馬鈴薯の花,1910,アララギ
山の湖寂しきときは船一つ烟をあげて行くもさびしき,島木赤彦,馬鈴薯の花,1910,アララギ
山の國にかへり來りて心親し燒味噌をやく燒味噌のにほひ,島木赤彦,馬鈴薯の花,1910,アララギ
屋根のうへに赤き柹の果鴉來て啄はぬは山の木の實多けむ,島木赤彦,馬鈴薯の花,1910,アララギ
霜ふかき朝の日光に染まりたる紅の湖しづまりかへる,島木赤彦,馬鈴薯の花,1910,アララギ
四,島木赤彦,馬鈴薯の花,1910,アララギ
栗,島木赤彦,馬鈴薯の花,1910,アララギ
谿の村にひびきて栗をおとす聲子どもの聲の滿つ心地すれ,島木赤彦,馬鈴薯の花,1910,アララギ
谿の橋をりをり馬行き見ゆれども栗落すほかの物音もなし,島木赤彦,馬鈴薯の花,1910,アララギ
よく聽けば四五人栗をおとす聲谿のはざまにひびきてきこゆ,島木赤彦,馬鈴薯の花,1910,アララギ
"この谿の紅葉のなかに^,られて動く栗の木の見えにけるかも",島木赤彦,馬鈴薯の花,1910,アララギ
この村に光り傾く紅葉の坂一途に人の馬を曳きのぼる,島木赤彦,馬鈴薯の花,1910,アララギ
〇,島木赤彦,馬鈴薯の花,1910,アララギ
瀬をなして水は流るれ然れども白き家鴨の動かす水見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
桐の木に大らかにして伸びし枝雀竝びてふくらむ朝日に,島木赤彦,馬鈴薯の花,1910,アララギ
露佛,島木赤彦,馬鈴薯の花,1910,アララギ
信濃の農夫、暁の霧に山深く入り、草刈鎌研ぎすまし居るままに、霧のうち自ら,島木赤彦,馬鈴薯の花,1910,アララギ
明るみ來りて光明佛まことに眼前に現れ給ヘりとぞいふなる。一人はー體,島木赤彦,馬鈴薯の花,1910,アララギ
を拜み、一人は年を隔て三體を拜みたりと我に語る。信濃の山域人素樸にし,島木赤彦,馬鈴薯の花,1910,アララギ
て往々この種の異靈を傅ふ。事農夫の口より出でて甚だ尊し。卽ち詠ず,島木赤彦,馬鈴薯の花,1910,アララギ
日の光明るむ山の霧のなかに佛見たりといふ物語,島木赤彦,馬鈴薯の花,1910,アララギ
霧のなかに草刈鎌をうち落し驚ける眼のまへにゐる佛,島木赤彦,馬鈴薯の花,1910,アララギ
霧のなかにびったり跪たる百姓の頭のうへのまことの佛,島木赤彦,馬鈴薯の花,1910,アララギ
山なかの霧にあらはれし露佛眼にこそ見っれ得やは語らむ,島木赤彦,馬鈴薯の花,1910,アララギ
霧ふかくこもる靑葉の雫落ちま近かりける三尊の佛,島木赤彦,馬鈴薯の花,1910,アララギ
あなをかし佛の姿眼には見て耳は聞えずなりたる農夫,島木赤彦,馬鈴薯の花,1910,アララギ
霧のなかに佛見しとは虛言と言ふ百姓の眼も驚く,島木赤彦,馬鈴薯の花,1910,アララギ
信濃なる高木の村の丘の上佛見しとふ草の跡どころ,島木赤彦,馬鈴薯の花,1910,アララギ
故さとの高木の丘に草茂り佛見しとふ人老いてあり,島木赤彦,馬鈴薯の花,1910,アララギ
子ども,島木赤彦,馬鈴薯の花,1910,アララギ
明かあかと雪隱の屋根に南瓜咲き中に子どもの唄のこゑおこる,島木赤彦,馬鈴薯の花,1910,アララギ
雪隱に豈はからむやわが子ども乃木大將の唄うたひ居り,島木赤彦,馬鈴薯の花,1910,アララギ
み佛は妄言すなとまうせども便所にうたふ子は疑はず,島木赤彦,馬鈴薯の花,1910,アララギ
便をなして心靜かになりたらむ屈託もなき子の唄聞ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
雪隱を出で來りたる子どもの眼朗らかに南瓜の黄の花の盛り,島木赤彦,馬鈴薯の花,1910,アララギ
吹雪•,島木赤彦,馬鈴薯の花,1910,アララギ
冬の晝はいくらもあらね久方の空の雪あれて松山曇る,島木赤彦,馬鈴薯の花,1910,アララギ
たちまちに吹雪の風の通りすぎて深山の人ら冬木を倒す,島木赤彦,馬鈴薯の花,1910,アララギ
山の窪に伐り倒されし杉の木にすなはち騷ぐーむれの吹雪,島木赤彦,馬鈴薯の花,1910,アララギ
山の窪の材木のうへに立つ人を我が子と知りて遠く呼ぶ樵夫,島木赤彦,馬鈴薯の花,1910,アララギ
山深くして霜燒けしたる杉の葉に烟はかかる我が汽車のけむり,島木赤彦,馬鈴薯の花,1910,アララギ
汽車の窓にひとり倚りゐるわが襟に落ちつつ來もよ細かなる雪,島木赤彦,馬鈴薯の花,1910,アララギ
〇,島木赤彦,馬鈴薯の花,1910,アララギ
たまさかに歸れる父のかたはらを寂しと思ふか子どもは眠る,島木赤彦,馬鈴薯の花,1910,アララギ
眠りたる女の童子の眉の毛をさすりて父は歎きこそすれ,島木赤彦,馬鈴薯の花,1910,アララギ
ちちのみの父歸れども寂しきか子はものを言ふ父の膝に來て,島木赤彦,馬鈴薯の花,1910,アララギ
